model,N,effect,replicate,lambda_emp,lambda_thr97,lambda_p,detect_lambda,eig1_obs,eig1_thr97,eig1_p,detect_pca
cline,100,0.005,0,1.036466775464226,1.0,,1,1.217190314465632,1.5477320613535541,,0
cline,100,0.005,1,1.0214389860355553,1.0,,1,1.219346331900529,1.5477320613535541,,0
cline,100,0.005,2,1.0396275365655623,1.0,,1,1.2104128455331258,1.5477320613535541,,0
cline,100,0.005,3,1.0038439618479513,1.0,,1,1.2158376695590494,1.5477320613535541,,0
cline,100,0.005,4,1.0154877467997396,1.0,,1,1.204982427419425,1.5477320613535541,,0
cline,100,0.01,0,1.0069956600561885,1.0,,1,1.2029662043250433,1.5477320613535541,,0
cline,100,0.01,1,1.042372928047674,1.0,,1,1.2145122698193889,1.5477320613535541,,0
cline,100,0.01,2,1.0501136112603964,1.0,,1,1.2094942421082755,1.5477320613535541,,0
cline,100,0.01,3,1.0355532312596305,1.0,,1,1.2056152640144613,1.5477320613535541,,0
cline,100,0.01,4,1.0283381217204979,1.0,,1,1.2120213048122175,1.5477320613535541,,0
cline,100,0.015,0,1.010589876728919,1.0,,1,1.2131906087267392,1.5477320613535541,,0
cline,100,0.015,1,0.9722957983722259,1.0,,0,1.195458009285444,1.5477320613535541,,0
cline,100,0.015,2,1.0296832188534901,1.0,,1,1.206877781785631,1.5477320613535541,,0
cline,100,0.015,3,1.0045450401420795,1.0,,1,1.219712587874072,1.5477320613535541,,0
cline,100,0.015,4,1.0223433965885196,1.0,,1,1.204487882474575,1.5477320613535541,,0
cline,300,0.005,0,1.000364196747253,1.0,,1,1.3934547651181766,1.6543874073835434,,0
cline,300,0.005,1,1.0117125614880365,1.0,,1,1.3974737387662437,1.6543874073835434,,0
cline,300,0.005,2,1.0166024387020143,1.0,,1,1.4070953683879994,1.6543874073835434,,0
cline,300,0.005,3,0.9950861036208591,1.0,,0,1.3932784439964994,1.6543874073835434,,0
cline,300,0.005,4,0.9947717350155122,1.0,,0,1.3967428870154164,1.6543874073835434,,0
cline,300,0.01,0,1.0020786255070482,1.0,,1,1.4052425996487399,1.6543874073835434,,0
cline,300,0.01,1,0.9849049528932274,1.0,,0,1.3988411778994545,1.6543874073835434,,0
cline,300,0.01,2,1.0122259538674112,1.0,,1,1.3917236992646718,1.6543874073835434,,0
cline,300,0.01,3,1.0046764131770363,1.0,,1,1.3868096018974723,1.6543874073835434,,0
cline,300,0.01,4,0.999377354303506,1.0,,0,1.3987809320627802,1.6543874073835434,,0
cline,300,0.015,0,0.9801574721115554,1.0,,0,1.3953459118394247,1.6543874073835434,,0
cline,300,0.015,1,1.0292999440069242,1.0,,1,1.395189581031685,1.6543874073835434,,0
cline,300,0.015,2,1.027068068422454,1.0,,1,1.402587088993811,1.6543874073835434,,0
cline,300,0.015,3,1.000511461932709,1.0,,1,1.3877953601395685,1.6543874073835434,,0
cline,300,0.015,4,1.0096118954353244,1.0,,1,1.3952911098986243,1.6543874073835434,,0
cline,1000,0.005,0,0.9896756799033545,1.0,,0,1.772754889277421,1.9934488264949979,,0
cline,1000,0.005,1,0.9901687419641233,1.0,,0,1.7835119579039609,1.9934488264949979,,0
cline,1000,0.005,2,0.9939166777844991,1.0,,0,1.78577773438709,1.9934488264949979,,0
cline,1000,0.005,3,0.9871801875197721,1.0,,0,1.774168540866134,1.9934488264949979,,0
cline,1000,0.005,4,0.9903084800036298,1.0,,0,1.7855922159266244,1.9934488264949979,,0
cline,1000,0.01,0,0.9818472550605173,1.0,,0,1.7792459424511307,1.9934488264949979,,0
cline,1000,0.01,1,1.003587489112191,1.0,,1,1.7786179493687926,1.9934488264949979,,0
cline,1000,0.01,2,1.027510665164564,1.0,,1,1.7713740780103264,1.9934488264949979,,0
cline,1000,0.01,3,1.0099670160355092,1.0,,1,1.7738813898799273,1.9934488264949979,,0
cline,1000,0.01,4,0.9939866101184389,1.0,,0,1.7676085065740281,1.9934488264949979,,0
cline,1000,0.015,0,1.0103099723147315,1.0,,1,1.7835427324704045,1.9934488264949979,,0
cline,1000,0.015,1,0.9730457689613886,1.0,,0,1.7770463562647782,1.9934488264949979,,0
cline,1000,0.015,2,1.0305437636268282,1.0,,1,1.7833927448435223,1.9934488264949979,,0
cline,1000,0.015,3,1.0048304694205277,1.0,,1,1.795208882316166,1.9934488264949979,,0
cline,1000,0.015,4,0.9977246200547343,1.0,,0,1.7735232516080006,1.9934488264949979,,0
