sample_size,fst_target,fst_effective,snps_total,snps_retained,chi2_pairs,lambda_emp,lambda_theory,lambda_diff,lambda_ratio,lambda_emp_sd,lambda_emp_ci_lo,lambda_emp_ci_hi,lambda_ratio_sd,lambda_ratio_ci_lo,lambda_ratio_ci_hi
200.0,0.001,0.001,17600.0,17600.0,80000.0,1.0168430375656774,1.0002192,0.016623837565677313,1.0166201944190607,0.007900030211314704,1.0009218950315335,1.0329322396661662,0.00789829890419491,1.0007025410345387,1.032705870539344
200.0,0.01,0.010000000000000002,17600.0,17600.0,80000.0,1.0194181694797966,1.02192,-0.002501830520203363,0.9975518332939923,0.008262110891048911,1.0019309090225588,1.034665200671137,0.008084890100055692,0.9804396714249245,1.0124718184115558
200.0,0.03,0.03,17600.0,17600.0,80000.0,1.1932462019907806,1.1972800000000001,-0.004033798009219547,0.9966308649528769,0.009796397613381299,1.1748367476388883,1.2126063308196575,0.00818221102280277,0.981254800580389,1.012800957854184
200.0,0.05,0.05,17600.0,17600.0,80000.0,1.6026465146679747,1.548,0.054646514667974655,1.0353013660645831,0.01169932209907901,1.5780574612308482,1.6234138988255649,0.007557701614392121,1.019416964619411,1.0487169889054035
200.0,0.07,0.07,17600.0,17600.0,80000.0,2.3444668022422226,2.0740800000000004,0.2703868022422222,1.1303646928962345,0.015958967317471727,2.3154219137897707,2.3771394875382525,0.007694480115266394,1.1163609474030753,1.1461175497272296
200.0,0.1,0.1,17600.0,17600.0,80000.0,4.107098710320438,3.1920000000000006,0.9150987103204371,1.286685059624197,0.02375807562818091,4.0634510826282355,4.154775756877745,0.007443006149179484,1.2730109907983191,1.3016214777185917
500.0,0.001,0.001,17600.0,17600.0,80000.0,1.010214726326784,1.000548,0.009666726326784003,1.0096614318621235,0.008100017824669143,0.9939835251530366,1.0252238962699471,0.008095581446036714,0.9934391205149943,1.024662381285003
500.0,0.01,0.009999999999999998,17600.0,17600.0,80000.0,1.0334814715596703,1.0548,-0.021318528440329665,0.9797890325745832,0.008506813587591876,1.0178240147584392,1.0500497971424727,0.008064859298058284,0.9649450272643527,0.9954965843216463
500.0,0.03,0.03,17600.0,17600.0,80000.0,1.5407473048013884,1.4931999999999999,0.04754730480138858,1.0318425561220121,0.011475682756255875,1.5171095647613568,1.560248982317661,0.007685295175633455,1.0160122989293845,1.0449028812735475
500.0,0.05,0.05,17600.0,17600.0,80000.0,2.826805997702423,2.37,0.45680599770242303,1.192745146709883,0.021437401696786842,2.7804359890415915,2.866653025803467,0.009045317171640015,1.173179742211642,1.20955823873564
500.0,0.07,0.07,17600.0,17600.0,80000.0,5.039799454305396,3.6852000000000005,1.3545994543053959,1.3675782737179518,0.02975186676867334,4.979863566523874,5.092831084810907,0.008073338426319696,1.351314329350883,1.381968708566945
500.0,0.1,0.1,17600.0,17600.0,80000.0,10.023241507657318,6.480000000000001,3.5432415076573163,1.5467965289594623,0.041358472453388244,9.924908813425969,10.099795052608133,0.006382480316880902,1.5316217304669701,1.5586103476247117
1000.0,0.001,0.001,17600.0,17600.0,80000.0,0.9955340263138904,1.001096,-0.005561973686109556,0.9944441155632331,0.007817951359091588,0.9784071535219123,1.0090874147685354,0.007809392265168963,0.9773359932732848,1.007982665766855
1000.0,0.01,0.010000000000000002,17600.0,17600.0,80000.0,1.0915811427137938,1.1096000000000001,-0.018018857286206336,0.9837609433253368,0.009180964325521507,1.073262898112969,1.1114723671281224,0.008274120697117433,0.9672520711183931,1.0016874253137367
1000.0,0.03,0.03,17600.0,17600.0,80000.0,2.240508829154757,1.9864,0.2541088291547571,1.1279242998161283,0.01874809071035259,2.202395071907842,2.2762801043633574,0.009438225287128775,1.1087369471948458,1.145932392450341
1000.0,0.05,0.05,17600.0,17600.0,80000.0,5.291398742881158,3.7400000000000007,1.5513987428811578,1.4148124980965662,0.028607424125550302,5.234169666593333,5.3479975747528155,0.007649043883836975,1.3995106060409979,1.4299458756023569
1000.0,0.07,0.07,17600.0,17600.0,80000.0,10.136734500936997,6.370400000000001,3.7663345009369964,1.5912241775927722,0.04156224208120229,10.064164371462128,10.216932446880186,0.006524275097513854,1.5798324079276227,1.6038133314831382
1000.0,0.1,0.1,17600.0,17600.0,80000.0,20.007103310987834,11.960000000000003,8.047103310987831,1.6728347249989823,0.054693639444285395,19.903271372376327,20.125605735014233,0.004573046776278041,1.6641531247806292,1.6827429544326278
2000.0,0.001,0.001,17600.0,17600.0,80000.0,1.0000117191720304,1.002192,-0.002180280827969616,0.9978244878945655,0.00861850976423061,0.9828551267163413,1.013802702658889,0.008599659311020852,0.9807054204347484,1.0115853076644885
2000.0,0.01,0.01,17600.0,17600.0,80000.0,1.2164970674044167,1.2192,-0.002702932595583407,0.9977830277267197,0.009648522305229928,1.1966762501558594,1.235660001159359,0.007913814226730582,0.9815257957315119,1.0135006571188967
2000.0,0.03,0.03,17600.0,17600.0,80000.0,3.906065012054534,2.9728,0.9332650120545343,1.3139346784359978,0.024251253812624128,3.8569538100139154,3.9530089462539317,0.008157714549456452,1.297414494757103,1.3297258296064087
2000.0,0.05,0.05,17600.0,17600.0,80000.0,10.463764067221586,6.480000000000001,3.9837640672215846,1.6147784054354295,0.042675339135010266,10.386036544436468,10.55039179246492,0.006585700483797876,1.6027834173513065,1.628146881553228
2000.0,0.07,0.07,17600.0,17600.0,80000.0,20.161075381007834,11.740800000000002,8.420275381007832,1.7171807186058727,0.06315755666399947,20.032642723915373,20.277916850129763,0.005379323100981147,1.7062417146970708,1.727132465430785
2000.0,0.1,0.1,17600.0,17600.0,80000.0,39.87139118544998,22.920000000000005,16.951391185449975,1.7395894932569795,0.08990047024459734,39.705377072776194,40.04448592362131,0.003922359085715413,1.7323462946237427,1.7471416197042453
